sale_date,sale_price,description,sale_id,lot_id,comments,title,grade,seal_grade,seal_type,variant
2020-05-03,576.0,9.2 B+ SEALED GEN FLYING EDGE 1992 USA,7229,97258,,KRUSTY'S SUPER FUN HOUSE,9.2,B+,SEALED,False
2021-06-22,156.0,8.0 A SEALED PS1 CRYSTAL DYNAMICS 1995 USA,312125,69097,Sony Security Label,GEX,8.0,,SEALED,False
2019-04-14,228.0,SUPER MARIO BROS,121915,13212,"NES, Nintendo, 1985, Complete in Box",SUPER MARIO BROS.,8.5,CIB,,False
2019-03-10,144.0,ELEVATOR ACTION,121910,12280,"NES, Taito, 1987, Complete in Box",ELEVATOR ACTION,8.5,CIB,,False
2019-01-20,94.0,FLIGHT OF THE INTRUDER,121903,13293,"NES, Mindscape, 1991, Seal Rating",FLIGHT OF THE INTRUDER,9.6,A+,,False
2021-04-05,780.0,9.6 A+ SEALED NES JALECO 1988 USA,7242,97049,Oval SOQ TM,CITY CONNECTION,9.6,A+,SEALED,False
2020-06-15,180.0,7.0 B+ SEALED NES FCI 1990 USA,122024,15754,,PHANTOM FIGHTER,7.0,B+,SEALED,False
2020-12-14,444.0,9.6 NS GLUE SEAL INTV COLECO 1982 USA,122050,13873,1982 Blue box,DONKEY KONG,9.6,,GLUE SEAL,False
2020-09-28,144.0,9.6 A+ SEALED PS2 ROCKSTAR 2001 USA,122039,17948,,GRAND THEFT AUTO III,9.6,A+,SEALED,False
2020-11-16,780.0,9.6 A++ SEALED PS1 SPECTUM HOLOBYTE 1996 USA,122046,15866,Sony Security Label,TOP GUN: FIRE AT WILL!,9.6,A++,SEALED,False
2020-10-12,264.0,9.4 A SEALED NES NINTENDO 1990 USA,122041,13793,,NES PLAY ACTION FOOTBALL,9.4,,SEALED,False
2021-05-04,432.0,9.4 A+ SEALED NES SAMMY 1989 USA,312118,66042,Oval SOQ TM,THUNDERCADE,9.4,A+,SEALED,False
2020-05-03,384.0,9.8 A++ SEALED PS1 KONAMI 1997 USA,7229,97268,Greatest Hits,CASTLEVANIA SYMPHONY OF THE NIGHT,9.8,A++,SEALED,False
2021-03-30,132.0,9.4 A++ SEALED 2600 STARPATH 1982 USA,312113,70015,1982 Black box,FIREBALL,9.4,A++,SEALED,False
2020-02-24,74.0,8.0 A SEALED GB NINTENDO 1998 USA,122008,17906,"Player's Choice, No Prior Release",MICKEY MOUSE: MAGIC WANDS!,8.0,,SEALED,False
2021-07-11,1560.0,9.2 A+ SEALED GB OCEAN 1994 USA,7261,29127,,DENNIS THE MENACE,9.2,A+,SEALED,False
